scenario,ebno_db,best_ber_classical_receiver,best_ber_classical,ber_upair5g,ber_gap_upair_minus_best_classical,ber_ratio_best_classical_over_upair,ber_zero_tie,ber_upair_zero_best_nonzero,best_bler_classical_receiver,best_bler_classical,bler_upair5g,bler_gap_upair_minus_best_classical,bler_ratio_best_classical_over_upair,bler_zero_tie,bler_upair_zero_best_nonzero,best_nmse_classical_receiver,best_nmse_classical,nmse_upair5g,nmse_gap_upair_minus_best_classical,nmse_reduction_pct
Clean control,2.0,paper_cfgres_phaseaware_ls_lmmse,0.0020483456438417,6.061955718905665e-05,-0.0019877260866526434,33.790178266288585,False,False,paper_cfgres_phaseaware_ls_lmmse,0.0162760416666666,0.0005208333333333,-0.015755208333333298,31.250000000001865,False,False,paper_cfgres_phaseaware_ls_lmmse,0.1293480705469846,0.038088314452519,-0.0912597560944656,70.55362767186871
Clean control,4.0,baseline_ddcpe_ls_lmmse,0.0005396609656637,0.0,-0.0005396609656637,inf,False,True,baseline_ddcpe_ls_lmmse,0.0053385416666666,0.0,-0.0053385416666666,inf,False,True,baseline_ddcpe_ls_lmmse,0.10588925195237,0.0280244628433138,-0.0778647891090562,73.53417620145294
Clean control,6.0,baseline_ddcpe_ls_lmmse,0.0002314213446538,0.0,-0.0002314213446538,inf,False,True,baseline_ddcpe_ls_lmmse,0.006640625,0.0,-0.006640625,inf,False,True,baseline_ddcpe_ls_lmmse,0.0842094803228974,0.021853479820614,-0.062356000502283404,74.04867036725814
Clean control,8.0,baseline_ddcpe_ls_lmmse,0.0002294496604311,0.0,-0.0002294496604311,inf,False,True,baseline_ddcpe_ls_lmmse,0.008203125,0.0,-0.008203125,inf,False,True,baseline_ddcpe_ls_lmmse,0.0699866443872451,0.0175145835926135,-0.0524720607946316,74.97439154861739
Clean control,10.0,baseline_ddcpe_ls_lmmse,6.5336130774085175e-06,0.0,-6.5336130774085175e-06,inf,False,True,baseline_ddcpe_ls_lmmse,0.012890625,0.0,-0.012890625,inf,False,True,baseline_ddcpe_ls_lmmse,0.0623467305054267,0.0149288401473313,-0.0474178903580954,76.05513548776727
Clean control,12.0,baseline_ddcpe_ls_lmmse,0.0001994878241021,3.162423381581902e-05,-0.00016786359028628098,6.308068213254625,False,False,baseline_ddcpe_ls_lmmse,0.0174479166666666,0.0001302083333333,-0.0173177083333333,134.00000000003382,False,False,baseline_ddcpe_ls_lmmse,0.0558082750067114,0.0131910602639739,-0.0426172147427375,76.36361227365015
Clean control,14.0,baseline_ddcpe_ls_lmmse,0.0003158943859186,0.0,-0.0003158943859186,inf,False,True,baseline_ddcpe_ls_lmmse,0.0197916666666666,0.0,-0.0197916666666666,inf,False,True,baseline_ddcpe_ls_lmmse,0.0534385504821936,0.0121168155766402,-0.041321734905553395,77.3257031350847
Clean control,16.0,baseline_ddcpe_ls_lmmse,0.0003993622590276,0.0,-0.0003993622590276,inf,False,True,baseline_ddcpe_ls_lmmse,0.0213541666666666,0.0,-0.0213541666666666,inf,False,True,baseline_ddcpe_ls_lmmse,0.0510961662357052,0.0112825904972851,-0.03981357573842009,77.91890991343885
DMRS-rich control,0.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,paper_cfgres_ls_lmmse,0.0736852219328284,0.0913480746870239,0.01766285275419549,-23.970685424951263
DMRS-rich control,2.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,paper_cfgres_phaseaware_ls_lmmse,0.052723654701064,0.058340994020303,0.005617339319239002,-10.654305645328566
DMRS-rich control,4.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,paper_cfgres_phaseaware_ls_lmmse,0.0391436164267361,0.0386189272006352,-0.0005246892261008967,1.3404209268270892
DMRS-rich control,6.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,paper_cfgres_phaseaware_ls_lmmse,0.0308772640923659,0.0262702179451783,-0.0046070461471876024,14.920512819419933
DMRS-rich control,8.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ddcpe_ls_lmmse,0.0242593666072934,0.0185321797616779,-0.0057271868456155,23.608146652492003
DMRS-rich control,10.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ddcpe_ls_lmmse,0.0168872399255633,0.0137123567362626,-0.0031748831893007017,18.800486066966318
DMRS-rich control,12.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ddcpe_ls_lmmse,0.0122567606468995,0.0106167733824501,-0.0016399872644493989,13.380266709085603
DMRS-rich control,14.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ddcpe_ls_lmmse,0.009369978820905,0.0086990859669943,-0.0006708928539107002,7.160025297110564
DMRS-rich control,16.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ddcpe_ls_lmmse,0.0075079299237889,0.0074256621068343,-8.226781695460077e-05,1.0957456687752896
