scenario,ebno_db,best_ber_classical_receiver,best_ber_classical,ber_upair5g,ber_gap_upair_minus_best_classical,ber_ratio_best_classical_over_upair,ber_zero_tie,ber_upair_zero_best_nonzero,best_bler_classical_receiver,best_bler_classical,bler_upair5g,bler_gap_upair_minus_best_classical,bler_ratio_best_classical_over_upair,bler_zero_tie,bler_upair_zero_best_nonzero,best_nmse_classical_receiver,best_nmse_classical,nmse_upair5g,nmse_gap_upair_minus_best_classical,nmse_reduction_pct
Targeted hard case,0.0,paper_cfgres_phaseaware_ls_lmmse,0.0047033894455277,0.0008205290067849,-0.0038828604387428005,5.732142808646233,False,False,paper_cfgres_phaseaware_ls_lmmse,0.0450520833333333,0.0055989583333333,-0.039453125,8.046511627907018,False,False,paper_cfgres_phaseaware_ls_lmmse,0.1492038870851199,0.0580300270890196,-0.09117385999610028,61.106893243395305
Targeted hard case,8.0,paper_cfgres_phaseaware_ls_lmmse,0.000478770789266,0.0,-0.000478770789266,inf,False,True,paper_cfgres_phaseaware_ls_lmmse,0.0091145833333333,0.0,-0.0091145833333333,inf,False,True,baseline_ddcpe_ls_lmmse,0.0765971854949991,0.0196165376653273,-0.0569806478296718,74.39000201044198
Targeted hard case,16.0,paper_cfgres_phaseaware_ls_lmmse,0.001264157455671,2.721694300286496e-05,-0.0012369405126681351,46.447444723602125,False,False,paper_cfgres_phaseaware_ls_lmmse,0.0315104166666666,0.0006510416666666,-0.030859375000000005,48.400000000004866,False,False,baseline_ddcpe_ls_lmmse,0.057673207266877,0.0132888026069849,-0.044384404659892095,76.9584470211752
Clean control,0.0,paper_cfgres_phaseaware_ls_lmmse,0.0055383001586657,0.0001436621630394,-0.0053946379956263,38.55086155946849,False,False,paper_cfgres_phaseaware_ls_lmmse,0.048828125,0.001953125,-0.046875,25.0,False,False,paper_cfgres_phaseaware_ls_lmmse,0.1541254424800475,0.0565118679776787,-0.0976135745023688,63.333848670056845
Clean control,8.0,baseline_ddcpe_ls_lmmse,0.0002294496604311,0.0,-0.0002294496604311,inf,False,True,baseline_ddcpe_ls_lmmse,0.008203125,0.0,-0.008203125,inf,False,True,baseline_ddcpe_ls_lmmse,0.0699866443872451,0.0175145835926135,-0.0524720607946316,74.97439154861739
Clean control,16.0,baseline_ddcpe_ls_lmmse,0.0003993622590276,0.0,-0.0003993622590276,inf,False,True,baseline_ddcpe_ls_lmmse,0.0213541666666666,0.0,-0.0213541666666666,inf,False,True,baseline_ddcpe_ls_lmmse,0.0510961662357052,0.0112825904972851,-0.03981357573842009,77.91890991343885
DMRS-rich control,0.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,paper_cfgres_ls_lmmse,0.0736852219328284,0.0913480746870239,0.01766285275419549,-23.970685424951263
DMRS-rich control,8.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ddcpe_ls_lmmse,0.0242593666072934,0.0185321797616779,-0.0057271868456155,23.608146652492003
DMRS-rich control,16.0,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ls_lmmse,0.0,0.0,0.0,1.0,True,False,baseline_ddcpe_ls_lmmse,0.0075079299237889,0.0074256621068343,-8.226781695460077e-05,1.0957456687752896
