receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.17847001975309765,1.0,0.14395921293180436,52773305,295698432,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,0.0,0.2644974593575119,1.0,0.49895345052937046,78211484,295698432,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,0.0,0.17833310661586463,1.0,0.14346528623718768,52732820,295698432,49152,49152,512,True,True
upair5g_lmmse,0.0,0.16084114372307526,1.0,0.03204037182513275,47560474,295698432,49152,49152,512,True,True
perfect_csi_lmmse,0.0,0.15012381939177818,1.0,0.0,44391378,295698432,49152,49152,512,True,True
baseline_ls_lmmse,1.0,0.15518520233478952,1.0,0.11741807039652485,45888021,295698432,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,1.0,0.2487996960362644,1.0,0.4836254231049679,73569680,295698432,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,1.0,0.1548608955762065,1.0,0.1165500757197151,45792124,295698432,49152,49152,512,True,True
upair5g_lmmse,1.0,0.1360169031941299,1.0,0.024694525913218968,40219985,295698432,49152,49152,512,True,True
perfect_csi_lmmse,1.0,0.12398878056952294,1.0,0.0,36663288,295698432,49152,49152,512,True,True
baseline_ls_lmmse,2.0,0.12983016088499244,1.0,0.09653734865423758,38390575,295698432,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,2.0,0.23463996927788916,1.0,0.47068674833280966,69382671,295698432,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,2.0,0.1290600654926706,1.0,0.09511468553682789,38162859,295698432,49152,49152,512,True,True
upair5g_lmmse,2.0,0.10525536029896837,1.0,0.019441736265434884,31123845,295698432,49152,49152,512,True,True
perfect_csi_lmmse,2.0,0.0872525120457859,0.9999796549479166,0.0,25800431,295698432,49151,49152,512,True,True
baseline_ls_lmmse,3.0,0.09691535665633831,1.0,0.07959768502041698,28657719,295698432,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,3.0,0.22108980949888837,1.0,0.45819860202027485,65375910,295698432,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,3.0,0.09502632398131891,1.0,0.07755654759239405,28099135,295698432,49152,49152,512,True,True
upair5g_lmmse,3.0,0.051298787407841245,0.9304402669270834,0.01565655504964525,15168971,295698432,45733,49152,512,True,True
perfect_csi_lmmse,3.0,0.02482181914309238,0.6145426432291666,0.0,7339773,295698432,30206,49152,512,True,True
baseline_ls_lmmse,4.0,0.04436247737695139,0.79608154296875,0.06643255564267747,13117915,295698432,39129,49152,512,True,True
baseline_ls_2dlmmse_lmmse,4.0,0.20847390222211257,0.9996337890625,0.44654204399557784,61645406,295698432,49134,49152,512,True,True
baseline_ddcpe_ls_lmmse,4.0,0.038913713279345355,0.7615966796875,0.06356774742016569,11506724,295698432,37434,49152,512,True,True
upair5g_lmmse,4.0,0.008193503034875748,0.21555582682291666,0.012842416372222942,2422806,295698432,10595,49152,512,True,True
perfect_csi_lmmse,4.0,0.0027076910573540004,0.08076985677083333,0.0,800660,295698432,3970,49152,512,True,True
baseline_ls_lmmse,5.0,0.011891726906417955,0.2672119140625,0.055937151875696145,3516365,295698432,13134,49152,512,True,True
baseline_ls_2dlmmse_lmmse,5.0,0.19749753356825375,0.9956258138020834,0.43597033206606284,58399711,295698432,48937,49152,512,True,True
baseline_ddcpe_ls_lmmse,5.0,0.007272142045041348,0.18876139322916666,0.05222434979805257,2150361,295698432,9278,49152,512,True,True
upair5g_lmmse,5.0,0.0009218986998213098,0.026021321614583332,0.010756066261819797,272604,295698432,1279,49152,512,True,True
perfect_csi_lmmse,5.0,0.00026954826733744736,0.00811767578125,0.0,79705,295698432,399,49152,512,True,True
baseline_ls_lmmse,6.0,0.0029860760303253822,0.07059733072916667,0.04756069886207115,882978,295698432,3470,49152,512,True,True
baseline_ls_2dlmmse_lmmse,6.0,0.18888312874110877,0.98712158203125,0.42772978643188253,55852445,295698432,48519,49152,512,True,True
baseline_ddcpe_ls_lmmse,6.0,0.0011023291459320284,0.031046549479166668,0.04302649450255558,325957,295698432,1526,49152,512,True,True
upair5g_lmmse,6.0,9.982467543148826e-05,0.0034383138020833335,0.009163552271274966,29518,295698432,169,49152,512,True,True
perfect_csi_lmmse,6.0,2.170792708160184e-05,0.00067138671875,0.0,6419,295698432,33,49152,512,True,True
baseline_ls_lmmse,7.0,0.0008728847999662936,0.020589192708333332,0.04096536735354069,774332,887095296,3036,147456,1536,True,True
baseline_ls_2dlmmse_lmmse,7.0,0.18130192069015322,0.9743381076388888,0.41807174855299917,160832081,887095296,143672,147456,1536,True,True
baseline_ddcpe_ls_lmmse,7.0,0.00018762471264417572,0.005025227864583333,0.035642416230984963,166441,887095296,741,147456,1536,True,True
upair5g_lmmse,7.0,1.3163185570538749e-05,0.00044080946180555556,0.00789118031570979,11677,887095296,65,147456,1536,True,True
perfect_csi_lmmse,7.0,2.191421833444149e-06,8.816189236111111e-05,0.0,1944,887095296,13,147456,1536,True,False
baseline_ls_lmmse,8.0,0.0003191021317285849,0.007276746961805556,0.03565721121412935,283074,887095296,1073,147456,1536,True,True
baseline_ls_2dlmmse_lmmse,8.0,0.1753790418025168,0.9603678385416666,0.4098627984834214,155577923,887095296,141612,147456,1536,True,True
