metric,ebno_db,paper_value,upair_value,paper_over_upair
ber,0.0,0.0448409201266864,0.0001436621630394,312.12755800139644
ber,2.0,0.0347268098887677,6.061955718905665e-05,572.8647898311729
ber,4.0,0.0350918415778627,0.0,35091841577.8627
ber,6.0,0.0302933476011579,0.0,30293347601.1579
ber,8.0,0.0301099038760488,0.0,30109903876.0488
ber,10.0,0.0321160710106293,0.0,32116071010.6293
ber,12.0,0.0345819493445257,3.162423381581902e-05,1093.5268675893476
ber,14.0,0.0392474901474391,0.0,39247490147.4391
ber,16.0,0.0413145472838853,0.0,41314547283.8853
bler,0.0,0.28671875,0.001953125,146.8
bler,2.0,0.191796875,0.0005208333333333,368.25000000002353
bler,4.0,0.1751302083333333,0.0,175130208333.33328
bler,6.0,0.15078125,0.0,150781250000.0
bler,8.0,0.1625,0.0,162500000000.0
bler,10.0,0.20078125,0.0,200781250000.0
bler,12.0,0.234765625,0.0001302083333333,1803.0000000004618
bler,14.0,0.2704427083333333,0.0,270442708333.33328
bler,16.0,0.3114583333333333,0.0,311458333333.3333
nmse,0.0,0.2877322765688101,0.0565118679776787,5.091537173792589
nmse,2.0,0.2782284957667192,0.038088314452519,7.304825633950267
nmse,4.0,0.2807007722556591,0.0280244628433138,10.016276630352253
nmse,6.0,0.279475862532854,0.021853479820614,12.788620614517848
nmse,8.0,0.2789702964325746,0.0175145835926135,15.927886321558105
nmse,10.0,0.2786073011656602,0.0149288401473313,18.66235410226858
nmse,12.0,0.2786859256525834,0.0131910602639739,21.126878361226385
nmse,14.0,0.2813604364792506,0.0121168155766402,23.22065848899116
nmse,16.0,0.2834900518258412,0.0112825904972851,25.126326431333002
