receiver,ebno_db,ber,bler,nmse
baseline_ls_lmmse,0.0,0.0093086200196315,0.0779947916666666,0.1950546006361643
baseline_ls_timeavg_lmmse,0.0,0.0093054112485939,0.078125,0.1950546006361643
baseline_ls_2dlmmse_lmmse,0.0,0.17190291347603,0.8802083333333334,0.5751601805289587
baseline_ddcpe_ls_lmmse,0.0,0.0077155782926032,0.0684895833333333,0.1917414179692665
paper_cfgres_ls_lmmse,0.0,0.0448409201266864,0.28671875,0.2877322765688101
paper_cfgres_phaseaware_ls_lmmse,0.0,0.0055383001586657,0.048828125,0.1541254424800475
upair5g_lmmse,0.0,0.0001436621630394,0.001953125,0.0565118679776787
perfect_csi_lmmse,0.0,0.0,0.0,0.0
baseline_ls_lmmse,8.0,0.0006296237840577,0.0178385416666666,0.0859716211135188
baseline_ls_timeavg_lmmse,8.0,0.000643657525912,0.0178385416666666,0.0859716211135188
baseline_ls_2dlmmse_lmmse,8.0,0.071976444683969,0.3856770833333333,0.487085494150718
baseline_ddcpe_ls_lmmse,8.0,0.0002294496604311,0.008203125,0.0699866443872451
paper_cfgres_ls_lmmse,8.0,0.0301099038760488,0.1625,0.2789702964325746
paper_cfgres_phaseaware_ls_lmmse,8.0,0.0006574206349265,0.0110677083333333,0.0981138107056419
upair5g_lmmse,8.0,0.0,0.0,0.0175145835926135
perfect_csi_lmmse,8.0,0.0,0.0,0.0
baseline_ls_lmmse,16.0,0.0015419713071044,0.0669270833333333,0.0688186549581587
baseline_ls_timeavg_lmmse,16.0,0.0015462239689933,0.0670572916666666,0.0688186549581587
baseline_ls_2dlmmse_lmmse,16.0,0.0523978747893124,0.4434895833333333,0.4385894320905208
baseline_ddcpe_ls_lmmse,16.0,0.0003993622590276,0.0213541666666666,0.0510961662357052
paper_cfgres_ls_lmmse,16.0,0.0413145472838853,0.3114583333333333,0.2834900518258412
paper_cfgres_phaseaware_ls_lmmse,16.0,0.001417639364259,0.0345052083333333,0.0925736414268612
upair5g_lmmse,16.0,0.0,0.0,0.0112825904972851
perfect_csi_lmmse,16.0,0.0,0.0,0.0
