receiver,ebno_db,ber,bler,nmse
baseline_ls_lmmse,0.0,0.08798664189816918,1.0,0.143047398829367
baseline_ddcpe_ls_lmmse,0.0,0.08696267291088589,1.0,0.14201209504972212
paper_cfgres_phaseaware_ls_lmmse,0.0,0.06969297700561583,0.9998575843637809,0.09232915769098327
upair5g_lmmse,0.0,0.021086493330585654,0.7706502301152796,0.025203461384080583
perfect_csi_lmmse,0.0,0.002607761541810305,0.13574218761641532,0.0
baseline_ls_lmmse,2.0,0.0032988609139863456,0.10772705066483468,0.0955265458469512
baseline_ddcpe_ls_lmmse,2.0,0.0015240763924992962,0.0588582354830578,0.09289861809520517
paper_cfgres_phaseaware_ls_lmmse,2.0,0.00205238152877385,0.062337240553461015,0.07039206189801916
upair5g_lmmse,2.0,1.700719203157064e-05,0.0008748386753723025,0.016511901856574696
perfect_csi_lmmse,2.0,1.488002480343198e-06,6.103527266532183e-05,0.0
baseline_ls_lmmse,4.0,4.216457902561643e-05,0.001383465714752674,0.06558070001483429
baseline_ddcpe_ls_lmmse,4.0,9.168124313063686e-06,0.0002848312724381685,0.06107097722997423
paper_cfgres_phaseaware_ls_lmmse,4.0,7.882016809901415e-05,0.0021565783536061645,0.055849086071248166
upair5g_lmmse,4.0,0.0,0.0,0.011458294640760869
perfect_csi_lmmse,4.0,0.0,0.0,0.0
baseline_ls_lmmse,6.0,1.143056449492974e-06,4.069018177688122e-05,0.04667341067397501
baseline_ddcpe_ls_lmmse,6.0,0.0,0.0,0.040882767039875034
paper_cfgres_phaseaware_ls_lmmse,6.0,8.495141280207008e-06,0.0002034509088844061,0.04665521899732994
upair5g_lmmse,6.0,0.0,0.0,0.008313606458614231
perfect_csi_lmmse,6.0,0.0,0.0,0.0
baseline_ls_lmmse,8.0,0.0,0.0,0.03475867605448002
baseline_ddcpe_ls_lmmse,8.0,0.0,0.0,0.028386715970555088
paper_cfgres_phaseaware_ls_lmmse,8.0,1.065274517486614e-06,4.069018177688122e-05,0.04111132840625942
upair5g_lmmse,8.0,0.0,0.0,0.006366670038005395
perfect_csi_lmmse,8.0,0.0,0.0,0.0
baseline_ls_lmmse,10.0,0.0,0.0,0.02740075620386051
baseline_ddcpe_ls_lmmse,10.0,0.0,0.0,0.020684243845607853
paper_cfgres_phaseaware_ls_lmmse,10.0,0.0,0.0,0.03781261220865417
upair5g_lmmse,10.0,0.0,0.0,0.00511384334822651
perfect_csi_lmmse,10.0,0.0,0.0,0.0
baseline_ls_lmmse,12.0,0.0,0.0,0.022465471651230473
baseline_ddcpe_ls_lmmse,12.0,0.0,0.0,0.015739352920718375
paper_cfgres_phaseaware_ls_lmmse,12.0,0.0,0.0,0.03564118287249585
upair5g_lmmse,12.0,0.0,0.0,0.004248238870786736
perfect_csi_lmmse,12.0,0.0,0.0,0.0
baseline_ls_lmmse,14.0,3.3818237099580983e-09,2.034509088844061e-05,0.019525310963217635
baseline_ddcpe_ls_lmmse,14.0,0.0,0.0,0.012742175238599884
paper_cfgres_phaseaware_ls_lmmse,14.0,3.3818237099580983e-09,2.034509088844061e-05,0.034518732463766355
upair5g_lmmse,14.0,0.0,0.0,0.0036838942064605362
perfect_csi_lmmse,14.0,0.0,0.0,0.0
baseline_ls_lmmse,16.0,1.6909118549790492e-08,0.00010172545444220304,0.017598720611204044
baseline_ddcpe_ls_lmmse,16.0,0.0,0.0,0.01083555146578874
paper_cfgres_phaseaware_ls_lmmse,16.0,6.763647419916197e-09,4.069018177688122e-05,0.03411371764377691
upair5g_lmmse,16.0,0.0,0.0,0.003301773549083009
perfect_csi_lmmse,16.0,0.0,0.0,0.0
baseline_ls_lmmse,18.0,6.425465048920387e-08,0.00030517636332660913,0.016494330406203517
baseline_ddcpe_ls_lmmse,18.0,0.0,0.0,0.009682363115643966
paper_cfgres_phaseaware_ls_lmmse,18.0,1.2783293845686217e-06,0.00010172545444220304,0.03449252531572711
upair5g_lmmse,18.0,0.0,0.0,0.0030446200103142473
perfect_csi_lmmse,18.0,0.0,0.0,0.0
