receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.17824499319631157,1.0,0.14321812766138464,52706765,295698432,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,0.0,0.26453949204573396,1.0,0.49948775477241725,78223913,295698432,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,0.0,0.17811198944741108,1.0,0.14278605522122234,52667436,295698432,49152,49152,512,True,True
upair5g_lmmse,0.0,0.16023502958581803,1.0,0.029052670350210974,47381247,295698432,49152,49152,512,True,True
perfect_csi_lmmse,0.0,0.1501006505168076,1.0,0.0,44384527,295698432,49152,49152,512,True,True
baseline_ls_lmmse,1.0,0.15513032209788655,1.0,0.1169288321834756,45871793,295698432,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,1.0,0.24932334439974305,1.0,0.4849491583299823,73724522,295698432,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,1.0,0.15482762857531826,1.0,0.11612451146356761,45782287,295698432,49152,49152,512,True,True
upair5g_lmmse,1.0,0.1358277848426332,1.0,0.022901142092450755,40164063,295698432,49152,49152,512,True,True
perfect_csi_lmmse,1.0,0.12415720215925934,1.0,0.0,36713090,295698432,49152,49152,512,True,True
baseline_ls_lmmse,2.0,0.12947273592576913,1.0,0.09576343290973455,38284885,295698432,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,2.0,0.2341946710086038,1.0,0.46955177874770015,69250997,295698432,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,2.0,0.12877786244060976,1.0,0.09447339140751865,38079412,295698432,49152,49152,512,True,True
upair5g_lmmse,2.0,0.1051592691570309,1.0,0.018272716482897522,31095431,295698432,49152,49152,512,True,True
perfect_csi_lmmse,2.0,0.08723052342732747,1.0,0.0,25793929,295698432,49152,49152,512,True,True
baseline_ls_lmmse,3.0,0.09592900715821179,1.0,0.07903529671602882,28366057,295698432,49152,49152,512,True,True
baseline_ls_2dlmmse_lmmse,3.0,0.21998501162156991,1.0,0.4567913656355813,65049223,295698432,49152,49152,512,True,True
baseline_ddcpe_ls_lmmse,3.0,0.09409666061401367,1.0,0.07711313248728402,27824235,295698432,49152,49152,512,True,True
upair5g_lmmse,3.0,0.050513605699471546,0.9267374674479166,0.014853521850454854,14936794,295698432,45551,49152,512,True,True
perfect_csi_lmmse,3.0,0.024105701040714345,0.6059977213541666,0.0,7128018,295698432,29786,49152,512,True,True
baseline_ls_lmmse,4.0,0.043522476304507424,0.7930908203125,0.06590658504865132,12869528,295698432,38982,49152,512,True,True
baseline_ls_2dlmmse_lmmse,4.0,0.2078897699396661,0.9995320638020834,0.4456202337751165,61472679,295698432,49129,49152,512,True,True
baseline_ddcpe_ls_lmmse,4.0,0.038265241798779645,0.7610270182291666,0.06319820495991735,11314972,295698432,37406,49152,512,True,True
upair5g_lmmse,4.0,0.007907657758563969,0.21457926432291666,0.012271966645130306,2338282,295698432,10547,49152,512,True,True
perfect_csi_lmmse,4.0,0.002599293458546307,0.07743326822916667,0.0,768607,295698432,3806,49152,512,True,True
baseline_ls_lmmse,5.0,0.010736688654473487,0.2510986328125,0.05523088030167855,3174822,295698432,12342,49152,512,True,True
baseline_ls_2dlmmse_lmmse,5.0,0.19740679923524249,0.9954427083333334,0.43600972642889246,58372881,295698432,48928,49152,512,True,True
baseline_ddcpe_ls_lmmse,5.0,0.00665962611529844,0.1766357421875,0.05176326751097804,1969241,295698432,8682,49152,512,True,True
upair5g_lmmse,5.0,0.0009252264144572806,0.026590983072916668,0.010267558121995535,273588,295698432,1307,49152,512,True,True
perfect_csi_lmmse,5.0,0.0002559364264738475,0.007914225260416666,0.0,75680,295698432,389,49152,512,True,True
baseline_ls_lmmse,6.0,0.002352420073715728,0.060624201787994894,0.04695876749139636,709193,301473792,3038,50112,522,True,True
baseline_ls_2dlmmse_lmmse,6.0,0.1878563394326496,0.9858716475095786,0.42539706934685906,56633763,301473792,49404,50112,522,True,True
baseline_ddcpe_ls_lmmse,6.0,0.0008769020956886362,0.025842113665389528,0.042668434637830634,264363,301473792,1295,50112,522,True,True
upair5g_lmmse,6.0,9.883114483132252e-05,0.0029932950191570882,0.008730673488101056,29795,301473792,150,50112,522,True,True
perfect_csi_lmmse,6.0,2.4565982836743566e-05,0.0006186143039591316,0.0,7406,301473792,31,50112,522,True,True
baseline_ls_lmmse,7.0,0.0005852054478710706,0.015394422743055556,0.0403410527020848,519133,887095296,2270,147456,1536,True,True
baseline_ls_2dlmmse_lmmse,7.0,0.18113145873338055,0.9744873046875,0.417992175091058,160680865,887095296,143694,147456,1536,True,True
baseline_ddcpe_ls_lmmse,7.0,0.00014362042113680648,0.00421142578125,0.03534770227270201,127405,887095296,621,147456,1536,True,True
upair5g_lmmse,7.0,1.1141982202552452e-05,0.0003390842013888889,0.007543043282263777,9884,887095296,50,147456,1536,True,True
perfect_csi_lmmse,7.0,2.1801490873873375e-06,8.816189236111111e-05,0.0,1934,887095296,13,147456,1536,True,False
baseline_ls_lmmse,8.0,0.00017957371741040098,0.004258897569444444,0.0350111296599304,159299,887095296,628,147456,1536,True,True
baseline_ls_2dlmmse_lmmse,8.0,0.17489983060399408,0.9593980577256944,0.4095541961529913,155152817,887095296,141469,147456,1536,True,True
baseline_ddcpe_ls_lmmse,8.0,4.097868646572104e-05,0.0009629991319444445,0.02950503959315635,36352,887095296,142,147456,1536,True,True
upair5g_lmmse,8.0,4.867571747331191e-06,9.494357638888889e-05,0.00658788187471752,4318,887095296,14,147456,1536,True,False
perfect_csi_lmmse,8.0,1.0224380673527999e-06,3.390842013888889e-05,0.0,907,887095296,5,147456,1536,True,False
baseline_ls_lmmse,9.0,5.8787370686271796e-05,0.001220703125,0.030856893932650564,52150,887095296,180,147456,1536,True,True
baseline_ls_2dlmmse_lmmse,9.0,0.16918784450413768,0.9450208875868056,0.40037693100748584,150085741,887095296,139349,147456,1536,True,True
baseline_ddcpe_ls_lmmse,9.0,1.0344999056335882e-05,0.00021023220486111112,0.024922056783301134,9177,887095296,31,147456,1536,True,True
upair5g_lmmse,9.0,4.734553343860816e-08,6.781684027777777e-06,0.005819452516637587,42,887095296,1,147456,1536,False,False
perfect_csi_lmmse,9.0,0.0,0.0,0.0,0,887095296,0,147456,1536,False,False
baseline_ls_lmmse,10.0,2.5588006274356346e-05,0.0005764431423611111,0.027512147621261345,22699,887095296,85,147456,1536,True,True
baseline_ls_2dlmmse_lmmse,10.0,0.16419058432252132,0.9308810763888888,0.39147003976783407,145652695,887095296,137264,147456,1536,True,True
baseline_ddcpe_ls_lmmse,10.0,5.888882540078309e-06,0.00011528862847222222,0.0213185294548263,5224,887095296,17,147456,1536,True,False
upair5g_lmmse,10.0,0.0,0.0,0.005196134983937857,0,887095296,0,147456,1536,False,False
perfect_csi_lmmse,10.0,0.0,0.0,0.0,0,887095296,0,147456,1536,False,False
baseline_ls_lmmse,11.0,1.2882494193724142e-05,0.0002644856770833333,0.02488615505353664,11428,887095296,39,147456,1536,True,True
baseline_ls_2dlmmse_lmmse,11.0,0.159257469447792,0.9169040256076388,0.3823065205360763,141276552,887095296,135203,147456,1536,True,True
baseline_ddcpe_ls_lmmse,11.0,3.78538812587729e-06,6.781684027777778e-05,0.018499079681835912,3358,887095296,10,147456,1536,True,False
upair5g_lmmse,11.0,0.0,0.0,0.004672924679956243,0,887095296,0,147456,1536,False,False
perfect_csi_lmmse,11.0,0.0,0.0,0.0,0,887095296,0,147456,1536,False,False
baseline_ls_lmmse,12.0,9.46797941311595e-06,0.00018310546875,0.022768490153490955,8399,887095296,27,147456,1536,True,False
baseline_ls_2dlmmse_lmmse,12.0,0.15379783165933955,0.9035237630208334,0.37113372444097575,136433333,887095296,133230,147456,1536,True,True
baseline_ddcpe_ls_lmmse,12.0,3.6016423651512634e-06,5.425347222222222e-05,0.016267777269604267,3195,887095296,8,147456,1536,True,False
upair5g_lmmse,12.0,0.0,0.0,0.00424785096265623,0,887095296,0,147456,1536,False,False
perfect_csi_lmmse,12.0,0.0,0.0,0.0,0,887095296,0,147456,1536,False,False
baseline_ls_lmmse,13.0,5.690482209478428e-06,0.00010172526041666667,0.02109638068820156,5048,887095296,15,147456,1536,True,False
baseline_ls_2dlmmse_lmmse,13.0,0.14818400863214587,0.8904079861111112,0.3597910584455046,131453337,887095296,131296,147456,1536,True,True
baseline_ddcpe_ls_lmmse,13.0,2.891459363572141e-06,5.425347222222222e-05,0.014524070469027114,2565,887095296,8,147456,1536,True,False
upair5g_lmmse,13.0,0.0,0.0,0.003893484650992226,0,887095296,0,147456,1536,False,False
perfect_csi_lmmse,13.0,0.0,0.0,0.0,0,887095296,0,147456,1536,False,False
baseline_ls_lmmse,14.0,3.949970218306737e-06,6.781684027777778e-05,0.01976862700272856,3504,887095296,10,147456,1536,True,False
baseline_ls_2dlmmse_lmmse,14.0,0.14241260050600021,0.8794487847222222,0.3464536330235812,126333548,887095296,129680,147456,1536,True,True
baseline_ddcpe_ls_lmmse,14.0,1.0337108134096115e-06,2.712673611111111e-05,0.013162855407548099,917,887095296,4,147456,1536,True,False
upair5g_lmmse,14.0,0.0,0.0,0.003612776125161569,0,887095296,0,147456,1536,False,False
perfect_csi_lmmse,14.0,0.0,0.0,0.0,0,887095296,0,147456,1536,False,False
