receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.17842338778448444,1.0,0.14412486768560484,26379758,147849216,24576,24576,256,True,True
baseline_ls_2dlmmse_lmmse,0.0,0.2653057287770806,1.0,0.5030892442446202,39225244,147849216,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,0.0,0.17829177396517273,1.0,0.14365736121544614,26360299,147849216,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,0.0,0.17108878007171846,1.0,0.0942689884104766,25295342,147849216,24576,24576,256,True,True
upair5g_lmmse,0.0,0.16078371359101423,1.0,0.032072360954771284,23771746,147849216,24576,24576,256,True,True
perfect_csi_lmmse,0.0,0.15006575347683954,1.0,0.0,22187104,147849216,24576,24576,256,True,True
baseline_ls_lmmse,1.0,0.1554704355009904,1.0,0.11750043311621994,22986182,147849216,24576,24576,256,True,True
baseline_ls_2dlmmse_lmmse,1.0,0.2497765967186461,1.0,0.4861083719879389,36929274,147849216,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,1.0,0.1551325777743725,1.0,0.11657939443830401,22936230,147849216,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,1.0,0.1492293878649989,1.0,0.0825008193787653,22063448,147849216,24576,24576,256,True,True
upair5g_lmmse,1.0,0.13622325193797444,1.0,0.0246965619007824,20140501,147849216,24576,24576,256,True,True
perfect_csi_lmmse,1.0,0.12424499430554978,1.0,0.0,18369525,147849216,24576,24576,256,True,True
baseline_ls_lmmse,2.0,0.12945157585414588,1.0,0.09623240461223759,19139314,147849216,24576,24576,256,True,True
baseline_ls_2dlmmse_lmmse,2.0,0.2350328323688913,1.0,0.4740832467796281,34749420,147849216,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,2.0,0.12869537299406444,1.0,0.09485460133873858,19027510,147849216,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,2.0,0.12436243828306807,1.0,0.07320801576133817,18386889,147849216,24576,24576,256,True,True
