metric,ebno_db,rank,receiver,value
ber,0.0,1,perfect_csi_lmmse,0.1501645297868877
ber,0.0,2,upair5g_lmmse,0.160285307160506
ber,0.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1745491501287365
ber,0.0,4,baseline_ddcpe_ls_lmmse,0.1781389425832329
ber,0.0,5,baseline_ls_lmmse,0.178270123529096
ber,0.0,6,baseline_ls_2dlmmse_lmmse,0.2656820378404982
ber,1.0,1,perfect_csi_lmmse,0.123977207968421
ber,1.0,2,upair5g_lmmse,0.1356162551447009
ber,1.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1529238004210993
ber,1.0,4,baseline_ddcpe_ls_lmmse,0.1546450540529075
ber,1.0,5,baseline_ls_lmmse,0.1549320491493171
ber,1.0,6,baseline_ls_2dlmmse_lmmse,0.2502829369078291
ber,2.0,1,perfect_csi_lmmse,0.0870570865928704
ber,2.0,2,upair5g_lmmse,0.1049809422053343
ber,2.0,3,baseline_ddcpe_ls_lmmse,0.1287379704468639
ber,2.0,4,baseline_ls_lmmse,0.1294216061314792
ber,2.0,5,paper_cfgres_phaseaware_ls_lmmse,0.1294610314335383
ber,2.0,6,baseline_ls_2dlmmse_lmmse,0.2356196329103294
ber,3.0,1,perfect_csi_lmmse,0.024364099434927
ber,3.0,2,upair5g_lmmse,0.0508130188529373
ber,3.0,3,baseline_ddcpe_ls_lmmse,0.0944858442807028
ber,3.0,4,baseline_ls_lmmse,0.0963201049371814
ber,3.0,5,paper_cfgres_phaseaware_ls_lmmse,0.099828395437687
ber,3.0,6,baseline_ls_2dlmmse_lmmse,0.2218634355152752
ber,4.0,1,perfect_csi_lmmse,0.0026087118378767
ber,4.0,2,upair5g_lmmse,0.0081159239965127
ber,4.0,3,baseline_ddcpe_ls_lmmse,0.0380371648369106
ber,4.0,4,baseline_ls_lmmse,0.0431535328533632
ber,4.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0525841138041611
ber,4.0,6,baseline_ls_2dlmmse_lmmse,0.2105706194613842
ber,5.0,1,perfect_csi_lmmse,0.0002416921845564
ber,5.0,2,upair5g_lmmse,0.0009134306129834
ber,5.0,3,baseline_ddcpe_ls_lmmse,0.0067420580708388
ber,5.0,4,baseline_ls_lmmse,0.0107994553045178
ber,5.0,5,paper_cfgres_phaseaware_ls_lmmse,0.017305259163498
ber,5.0,6,baseline_ls_2dlmmse_lmmse,0.1999976313705985
ber,6.0,1,perfect_csi_lmmse,1.735113641979885e-05
ber,6.0,2,upair5g_lmmse,0.0001099106409234
ber,6.0,3,baseline_ddcpe_ls_lmmse,0.001008887739547
ber,6.0,4,baseline_ls_lmmse,0.0024423413773105
ber,6.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0049379970774797
ber,6.0,6,baseline_ls_2dlmmse_lmmse,0.1918946338123502
ber,7.0,1,perfect_csi_lmmse,1.06189267855164e-06
ber,7.0,2,upair5g_lmmse,9.69568888346354e-06
ber,7.0,3,baseline_ddcpe_ls_lmmse,0.0001439896035701
ber,7.0,4,baseline_ls_lmmse,0.0006208977800734
ber,7.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0014761863870823
ber,7.0,6,baseline_ls_2dlmmse_lmmse,0.1856909795855799
ber,8.0,1,perfect_csi_lmmse,8.623650733460773e-08
ber,8.0,2,upair5g_lmmse,1.3324385839151152e-06
ber,8.0,3,baseline_ddcpe_ls_lmmse,3.594540535135472e-05
ber,8.0,4,baseline_ls_lmmse,0.0001740759991584
ber,8.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0005030632019042
ber,8.0,6,baseline_ls_2dlmmse_lmmse,0.1807547224328873
ber,9.0,1,upair5g_lmmse,0.0
ber,9.0,2,perfect_csi_lmmse,0.0
ber,9.0,3,baseline_ddcpe_ls_lmmse,8.363250299548426e-06
ber,9.0,4,baseline_ls_lmmse,6.113999278832835e-05
ber,9.0,5,paper_cfgres_phaseaware_ls_lmmse,0.000273325764541
ber,9.0,6,baseline_ls_2dlmmse_lmmse,0.1765136803295595
ber,10.0,1,upair5g_lmmse,0.0
ber,10.0,2,perfect_csi_lmmse,0.0
ber,10.0,3,baseline_ddcpe_ls_lmmse,8.062267979831561e-06
ber,10.0,4,baseline_ls_lmmse,2.543469692798371e-05
ber,10.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0001549585491207
ber,10.0,6,baseline_ls_2dlmmse_lmmse,0.1730365668628232
ber,11.0,1,upair5g_lmmse,0.0
ber,11.0,2,perfect_csi_lmmse,0.0
ber,11.0,3,baseline_ddcpe_ls_lmmse,3.772424467911957e-06
ber,11.0,4,baseline_ls_lmmse,1.4163078145777926e-05
ber,11.0,5,paper_cfgres_phaseaware_ls_lmmse,9.383884727532136e-05
ber,11.0,6,baseline_ls_2dlmmse_lmmse,0.1698146762577354
ber,12.0,1,upair5g_lmmse,0.0
ber,12.0,2,perfect_csi_lmmse,0.0
ber,12.0,3,baseline_ddcpe_ls_lmmse,3.3767510813178744e-06
ber,12.0,4,baseline_ls_lmmse,1.0738981531021444e-05
ber,12.0,5,paper_cfgres_phaseaware_ls_lmmse,7.981780572985927e-05
ber,12.0,6,baseline_ls_2dlmmse_lmmse,0.1669521162695918
ber,13.0,1,upair5g_lmmse,0.0
ber,13.0,2,perfect_csi_lmmse,0.0
ber,13.0,3,baseline_ddcpe_ls_lmmse,1.165038304971465e-06
ber,13.0,4,baseline_ls_lmmse,2.571877012861536e-06
ber,13.0,5,paper_cfgres_phaseaware_ls_lmmse,4.244188890389517e-05
ber,13.0,6,baseline_ls_2dlmmse_lmmse,0.1635569156484401
ber,14.0,1,upair5g_lmmse,0.0
ber,14.0,2,perfect_csi_lmmse,0.0
ber,14.0,3,baseline_ddcpe_ls_lmmse,1.357802262542941e-06
ber,14.0,4,baseline_ls_lmmse,3.5170967697251773e-06
ber,14.0,5,paper_cfgres_phaseaware_ls_lmmse,4.600464029515043e-05
ber,14.0,6,baseline_ls_2dlmmse_lmmse,0.1603512916159122
bler,0.0,1,baseline_ls_lmmse,1.0
bler,0.0,2,baseline_ls_2dlmmse_lmmse,1.0
bler,0.0,3,baseline_ddcpe_ls_lmmse,1.0
bler,0.0,4,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,0.0,5,upair5g_lmmse,1.0
bler,0.0,6,perfect_csi_lmmse,1.0
bler,1.0,1,baseline_ls_lmmse,1.0
bler,1.0,2,baseline_ls_2dlmmse_lmmse,1.0
bler,1.0,3,baseline_ddcpe_ls_lmmse,1.0
bler,1.0,4,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,1.0,5,upair5g_lmmse,1.0
bler,1.0,6,perfect_csi_lmmse,1.0
bler,2.0,1,baseline_ls_lmmse,1.0
bler,2.0,2,baseline_ls_2dlmmse_lmmse,1.0
bler,2.0,3,baseline_ddcpe_ls_lmmse,1.0
bler,2.0,4,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,2.0,5,upair5g_lmmse,1.0
bler,2.0,6,perfect_csi_lmmse,1.0
bler,3.0,1,perfect_csi_lmmse,0.6077067057291666
bler,3.0,2,upair5g_lmmse,0.927490234375
bler,3.0,3,baseline_ls_lmmse,1.0
bler,3.0,4,baseline_ls_2dlmmse_lmmse,1.0
bler,3.0,5,baseline_ddcpe_ls_lmmse,1.0
bler,3.0,6,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,4.0,1,perfect_csi_lmmse,0.0806884765625
bler,4.0,2,upair5g_lmmse,0.2139892578125
bler,4.0,3,baseline_ddcpe_ls_lmmse,0.7571614583333334
bler,4.0,4,baseline_ls_lmmse,0.7894694010416666
bler,4.0,5,paper_cfgres_phaseaware_ls_lmmse,0.8302001953125
bler,4.0,6,baseline_ls_2dlmmse_lmmse,0.9994710286458334
bler,5.0,1,perfect_csi_lmmse,0.0079752604166666
bler,5.0,2,upair5g_lmmse,0.02685546875
bler,5.0,3,baseline_ddcpe_ls_lmmse,0.1756998697916666
bler,5.0,4,baseline_ls_lmmse,0.2480061848958333
bler,5.0,5,paper_cfgres_phaseaware_ls_lmmse,0.3591715494791667
bler,5.0,6,baseline_ls_2dlmmse_lmmse,0.9961344401041666
bler,6.0,1,perfect_csi_lmmse,0.0007621951219512
bler,6.0,2,upair5g_lmmse,0.00362950058072
bler,6.0,3,baseline_ddcpe_ls_lmmse,0.0267131242740998
bler,6.0,4,baseline_ls_lmmse,0.0626451800232288
bler,6.0,5,paper_cfgres_phaseaware_ls_lmmse,0.117414343786295
bler,6.0,6,baseline_ls_2dlmmse_lmmse,0.9883130081300812
bler,7.0,1,perfect_csi_lmmse,6.103515625e-05
bler,7.0,2,upair5g_lmmse,0.0004170735677083
bler,7.0,3,baseline_ddcpe_ls_lmmse,0.0043843587239583
bler,7.0,4,baseline_ls_lmmse,0.0156962076822916
bler,7.0,5,paper_cfgres_phaseaware_ls_lmmse,0.036346435546875
bler,7.0,6,baseline_ls_2dlmmse_lmmse,0.9762064615885416
bler,8.0,1,perfect_csi_lmmse,1.0172526041666666e-05
bler,8.0,2,upair5g_lmmse,6.103515625e-05
bler,8.0,3,baseline_ddcpe_ls_lmmse,0.0008951822916666
bler,8.0,4,baseline_ls_lmmse,0.0044148763020833
bler,8.0,5,paper_cfgres_phaseaware_ls_lmmse,0.012542724609375
bler,8.0,6,baseline_ls_2dlmmse_lmmse,0.9627888997395834
bler,9.0,1,upair5g_lmmse,0.0
bler,9.0,2,perfect_csi_lmmse,0.0
bler,9.0,3,baseline_ddcpe_ls_lmmse,0.0002543131510416
