metric,ebno_db,best_non_upair_receiver,best_non_upair_value,upair_value,gain_factor_best_non_upair_over_upair
ber,0.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,2.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,4.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,6.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,8.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,10.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,12.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,14.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,16.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,0.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,2.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,4.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,6.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,8.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,10.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,12.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,14.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,16.0,baseline_ls_lmmse,0.0,0.0,1.0
nmse,0.0,paper_cfgres_ls_lmmse,0.0736852219328284,0.0913480746870239,0.8066423094880563
nmse,2.0,paper_cfgres_phaseaware_ls_lmmse,0.052723654701064,0.058340994020303,0.9037153992048176
nmse,4.0,paper_cfgres_phaseaware_ls_lmmse,0.0391436164267361,0.0386189272006352,1.013586323187462
nmse,6.0,paper_cfgres_phaseaware_ls_lmmse,0.0308772640923659,0.0262702179451783,1.175371447500046
nmse,8.0,baseline_ddcpe_ls_lmmse,0.0242593666072934,0.0185321797616779,1.3090401085715004
nmse,10.0,baseline_ddcpe_ls_lmmse,0.0168872399255633,0.0137123567362626,1.2315344656184928
nmse,12.0,baseline_ddcpe_ls_lmmse,0.0122567606468995,0.0106167733824501,1.154471345047296
nmse,14.0,baseline_ddcpe_ls_lmmse,0.009369978820905,0.0086990859669943,1.077122223697544
nmse,16.0,baseline_ddcpe_ls_lmmse,0.0075079299237889,0.0074256621068343,1.011078852736766
