receiver,ebno_db,ber,bler,nmse
baseline_ls_lmmse,0.0,0.01592666737851687,0.10924479166666666,0.20223808648685615
baseline_ls_timeavg_lmmse,0.0,0.01594240213065253,0.10924479166666666,0.20223808648685615
baseline_ls_2dlmmse_lmmse,0.0,0.17969546429812908,0.8930989583333333,0.5799403155843417
baseline_ddcpe_ls_lmmse,0.0,0.014411487753386609,0.09674479166666666,0.19866417944431305
paper_cfgres_ls_lmmse,0.0,0.030013716686517,0.21341145833333333,0.2590195664515098
paper_cfgres_phaseaware_ls_lmmse,0.0,0.004703389445527743,0.04505208333333333,0.1492038870851199
upair5g_lmmse,0.0,0.0008205290067849092,0.005598958333333333,0.058030027089019616
perfect_csi_lmmse,0.0,0.0,0.0,0.0
baseline_ls_lmmse,2.0,0.006605946585235264,0.04348958333333333,0.15233226505418618
baseline_ls_timeavg_lmmse,2.0,0.006612170893640723,0.043359375,0.15233226505418618
baseline_ls_2dlmmse_lmmse,2.0,0.13437047644207875,0.70859375,0.5476465731859207
baseline_ddcpe_ls_lmmse,2.0,0.005306105573178381,0.03359375,0.14546679655710856
paper_cfgres_ls_lmmse,2.0,0.02131372786825523,0.12473958333333333,0.2524780766417583
paper_cfgres_phaseaware_ls_lmmse,2.0,0.0013487078129666467,0.011067708333333334,0.12539833256353936
upair5g_lmmse,2.0,0.00017996430890813522,0.0013020833333333333,0.03979132209594051
perfect_csi_lmmse,2.0,0.0,0.0,0.0
baseline_ls_lmmse,4.0,0.004155957724841149,0.027864583333333335,0.12436977804948886
baseline_ls_timeavg_lmmse,4.0,0.004115596231201835,0.027864583333333335,0.12436977804948886
baseline_ls_2dlmmse_lmmse,4.0,0.11282084317257007,0.578515625,0.5234495649735132
baseline_ddcpe_ls_lmmse,4.0,0.0028637714545235817,0.019140625,0.11330244888861975
paper_cfgres_ls_lmmse,4.0,0.020767533235872784,0.11106770833333333,0.25178395050267377
paper_cfgres_phaseaware_ls_lmmse,4.0,0.0005993526675183603,0.005859375,0.11211680117994546
upair5g_lmmse,4.0,3.8660433195521667e-08,0.00013020833333333333,0.029949988688652715
perfect_csi_lmmse,4.0,0.0,0.0,0.0
baseline_ls_lmmse,6.0,0.0033759835148847134,0.030338541666666666,0.10578436975677809
