metric,ebno_db,rank,receiver,value
ber,0.0,1,perfect_csi_lmmse,0.0
ber,0.0,2,upair5g_lmmse,0.0008205290067849
ber,0.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0047033894455277
ber,0.0,4,baseline_ddcpe_ls_lmmse,0.0144114877533866
ber,0.0,5,baseline_ls_lmmse,0.0159266673785168
ber,0.0,6,baseline_ls_timeavg_lmmse,0.0159424021306525
ber,0.0,7,paper_cfgres_ls_lmmse,0.030013716686517
ber,0.0,8,baseline_ls_2dlmmse_lmmse,0.179695464298129
ber,2.0,1,perfect_csi_lmmse,0.0
ber,2.0,2,upair5g_lmmse,0.0001799643089081
ber,2.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0013487078129666
ber,2.0,4,baseline_ddcpe_ls_lmmse,0.0053061055731783
ber,2.0,5,baseline_ls_lmmse,0.0066059465852352
ber,2.0,6,baseline_ls_timeavg_lmmse,0.0066121708936407
ber,2.0,7,paper_cfgres_ls_lmmse,0.0213137278682552
ber,2.0,8,baseline_ls_2dlmmse_lmmse,0.1343704764420787
ber,4.0,1,perfect_csi_lmmse,0.0
ber,4.0,2,upair5g_lmmse,3.866043319552167e-08
ber,4.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0005993526675183
ber,4.0,4,baseline_ddcpe_ls_lmmse,0.0028637714545235
ber,4.0,5,baseline_ls_timeavg_lmmse,0.0041155962312018
ber,4.0,6,baseline_ls_lmmse,0.0041559577248411
ber,4.0,7,paper_cfgres_ls_lmmse,0.0207675332358727
ber,4.0,8,baseline_ls_2dlmmse_lmmse,0.11282084317257
ber,6.0,1,perfect_csi_lmmse,0.0
ber,6.0,2,upair5g_lmmse,8.049101840394239e-05
ber,6.0,3,paper_cfgres_phaseaware_ls_lmmse,0.000552650866507
ber,6.0,4,baseline_ddcpe_ls_lmmse,0.0021951779733209
ber,6.0,5,baseline_ls_lmmse,0.0033759835148847
ber,6.0,6,baseline_ls_timeavg_lmmse,0.0033826331227335
