receiver,ebno_db,ber,bler,nmse
baseline_ls_lmmse,0.0,0.009308620019631538,0.07799479166666666,0.19505460063616434
baseline_ls_timeavg_lmmse,0.0,0.00930541124859398,0.078125,0.19505460063616434
baseline_ls_2dlmmse_lmmse,0.0,0.17190291347603004,0.8802083333333334,0.5751601805289587
baseline_ddcpe_ls_lmmse,0.0,0.007715578292603217,0.06848958333333334,0.19174141796926658
paper_cfgres_ls_lmmse,0.0,0.044840920126686494,0.28671875,0.2877322765688101
paper_cfgres_phaseaware_ls_lmmse,0.0,0.005538300158665758,0.048828125,0.15412544248004753
upair5g_lmmse,0.0,0.00014366216303945595,0.001953125,0.05651186797767878
perfect_csi_lmmse,0.0,0.0,0.0,0.0
baseline_ls_lmmse,2.0,0.00287150353473938,0.022135416666666668,0.14618983045220374
baseline_ls_timeavg_lmmse,2.0,0.002857585795319058,0.021875,0.14618983045220374
baseline_ls_2dlmmse_lmmse,2.0,0.1269663465519746,0.683203125,0.5424665888150533
baseline_ddcpe_ls_lmmse,2.0,0.0020577401362250687,0.016666666666666666,0.13942195177078248
paper_cfgres_ls_lmmse,2.0,0.0347268098887677,0.191796875,0.2782284957667192
paper_cfgres_phaseaware_ls_lmmse,2.0,0.0020483456438417607,0.016276041666666668,0.12934807054698466
upair5g_lmmse,2.0,6.061955718905665e-05,0.0005208333333333333,0.03808831445251902
perfect_csi_lmmse,2.0,0.0,0.0,0.0
baseline_ls_lmmse,4.0,0.0012732813102009763,0.010546875,0.11665658739705881
baseline_ls_timeavg_lmmse,4.0,0.001266477069270877,0.010546875,0.11665658739705881
baseline_ls_2dlmmse_lmmse,4.0,0.10331837938477596,0.54921875,0.5200691784421603
baseline_ddcpe_ls_lmmse,4.0,0.0005396609656637944,0.005338541666666667,0.10588925195237
paper_cfgres_ls_lmmse,4.0,0.0350918415778627,0.17513020833333334,0.2807007722556591
paper_cfgres_phaseaware_ls_lmmse,4.0,0.0014991355499281175,0.009635416666666667,0.11522233411669731
upair5g_lmmse,4.0,0.0,0.0,0.028024462843313815
perfect_csi_lmmse,4.0,0.0,0.0,0.0
baseline_ls_lmmse,6.0,0.000778350467915819,0.012109375,0.09823578322927157
baseline_ls_timeavg_lmmse,6.0,0.0007747163880897763,0.012109375,0.09823578322927157
baseline_ls_2dlmmse_lmmse,6.0,0.08494497084369262,0.44375,0.5008539251983166
baseline_ddcpe_ls_lmmse,6.0,0.00023142134465388154,0.006640625,0.08420948032289743
paper_cfgres_ls_lmmse,6.0,0.030293347601157924,0.15078125,0.27947586253285406
paper_cfgres_phaseaware_ls_lmmse,6.0,0.000838080838229871,0.0067708333333333336,0.10477714234342178
upair5g_lmmse,6.0,0.0,0.0,0.02185347982061406
perfect_csi_lmmse,6.0,0.0,0.0,0.0
baseline_ls_lmmse,8.0,0.0006296237840577608,0.017838541666666666,0.08597162111351887
