metric,ebno_db,rank,receiver,value
ber,0.0,1,perfect_csi_lmmse,0.0
ber,0.0,2,upair5g_lmmse,0.0006693280516477
ber,0.0,3,baseline_ddcpe_ls_lmmse,0.0126851061242632
ber,0.0,4,baseline_ls_lmmse,0.0141772055261147
ber,0.0,5,baseline_ls_timeavg_lmmse,0.0141781720226087
ber,0.0,6,paper_cfgres_ls_lmmse,0.0303770861122757
ber,0.0,7,baseline_ls_2dlmmse_lmmse,0.1822110592077175
ber,2.0,1,perfect_csi_lmmse,0.0
ber,2.0,2,upair5g_lmmse,0.0002659451078216
ber,2.0,3,baseline_ddcpe_ls_lmmse,0.0058535372995227
ber,2.0,4,baseline_ls_lmmse,0.0071790101430148
ber,2.0,5,baseline_ls_timeavg_lmmse,0.0071870515751622
ber,2.0,6,paper_cfgres_ls_lmmse,0.0214694905754489
ber,2.0,7,baseline_ls_2dlmmse_lmmse,0.1395379841327667
ber,4.0,1,perfect_csi_lmmse,0.0
ber,4.0,2,upair5g_lmmse,0.0001024501417608
ber,4.0,3,baseline_ddcpe_ls_lmmse,0.002567168631856
ber,4.0,4,baseline_ls_lmmse,0.0038285425275489
ber,4.0,5,baseline_ls_timeavg_lmmse,0.0038318673356684
ber,4.0,6,paper_cfgres_ls_lmmse,0.0199146455435159
ber,4.0,7,baseline_ls_2dlmmse_lmmse,0.1142066650092601
ber,6.0,1,perfect_csi_lmmse,0.0
ber,6.0,2,upair5g_lmmse,8.8145784320659e-05
ber,6.0,3,baseline_ddcpe_ls_lmmse,0.0027321326818575
ber,6.0,4,baseline_ls_lmmse,0.00384837532935
ber,6.0,5,baseline_ls_timeavg_lmmse,0.0038486846265489
ber,6.0,6,paper_cfgres_ls_lmmse,0.016784078428706
ber,6.0,7,baseline_ls_2dlmmse_lmmse,0.0973268632466594
ber,8.0,1,perfect_csi_lmmse,0.0
ber,8.0,2,upair5g_lmmse,7.395740671730285e-05
ber,8.0,3,baseline_ddcpe_ls_lmmse,0.002102663563744
ber,8.0,4,baseline_ls_timeavg_lmmse,0.0040985856483302
ber,8.0,5,baseline_ls_lmmse,0.0040999001130103
ber,8.0,6,paper_cfgres_ls_lmmse,0.0180698470220969
ber,8.0,7,baseline_ls_2dlmmse_lmmse,0.0853987282452484
ber,10.0,1,perfect_csi_lmmse,0.0
ber,10.0,2,upair5g_lmmse,3.193351609146096e-05
ber,10.0,3,baseline_ddcpe_ls_lmmse,0.0020678691615292
ber,10.0,4,baseline_ls_timeavg_lmmse,0.0040448476491443
ber,10.0,5,baseline_ls_lmmse,0.0040472832393713
ber,10.0,6,paper_cfgres_ls_lmmse,0.0184956916763136
ber,10.0,7,baseline_ls_2dlmmse_lmmse,0.0780687496997416
ber,12.0,1,perfect_csi_lmmse,0.0
ber,12.0,2,upair5g_lmmse,0.0001320253742202
ber,12.0,3,baseline_ddcpe_ls_lmmse,0.0022503463834179
