metric,ebno_db,paper_value,upair_value,paper_over_upair
ber,0.0,0.0303770861122757,0.0006693280516477,45.38445092431991
ber,2.0,0.0214694905754489,0.0002659451078216,80.72902995399697
ber,4.0,0.0199146455435159,0.0001024501417608,194.38377733056242
ber,6.0,0.016784078428706,8.8145784320659e-05,190.41271863494285
ber,8.0,0.0180698470220969,7.395740671730285e-05,244.32775328599152
ber,10.0,0.0184956916763136,3.193351609146096e-05,579.1937105622815
ber,12.0,0.0202554758482923,0.0001320253742202,153.42108263604675
ber,14.0,0.0253655344635869,3.1894856753448646e-05,795.2860443821946
ber,16.0,0.0317518510545293,9.69217042438686e-05,327.6031029606866
bler,0.0,0.2194010416666666,0.0049479166666666,44.34210526315848
bler,2.0,0.1315104166666666,0.0014322916666666,91.81818181818605
bler,4.0,0.1059895833333333,0.0005208333333333,203.50000000001296
bler,6.0,0.0885416666666666,0.0005208333333333,170.00000000001074
bler,8.0,0.1106770833333333,0.0005208333333333,212.50000000001353
bler,10.0,0.1337239583333333,0.0002604166666666,513.5000000001314
bler,12.0,0.1658854166666666,0.0006510416666666,254.800000000026
bler,14.0,0.2220052083333333,0.0001302083333333,1705.0000000004363
bler,16.0,0.2858072916666667,0.0005208333333333,548.7500000000351
nmse,0.0,0.2622185127188762,0.0579173194554944,4.527462858849565
nmse,2.0,0.2550108620276053,0.040206140341858,6.342584984764563
nmse,4.0,0.2527448202172915,0.0298761977814137,8.459738487021488
nmse,6.0,0.2500865659366051,0.0236789033748209,10.5615771971322
nmse,8.0,0.2509197471042474,0.0197581029186646,12.699587006767473
nmse,10.0,0.2519536707550287,0.016877177489611,14.928661555530987
nmse,12.0,0.2536330762008826,0.0153090805358563,16.56749245043382
nmse,14.0,0.260912257929643,0.0141008149987707,18.50334593797516
nmse,16.0,0.2806833110749721,0.0134339798241853,20.893533766490826
