receiver,ebno_db,ber,bler,nmse
baseline_ls_lmmse,4.0,0.004476351197808981,0.0625,0.12016268633306026
baseline_ls_timeavg_lmmse,4.0,0.004476351197808981,0.0625,0.12016268633306026
baseline_ls_2dlmmse_lmmse,4.0,0.05920607969164848,0.375,0.2707887552678585
baseline_ddcpe_ls_lmmse,4.0,0.0,0.0,0.1121765784919262
paper_cfgres_ls_lmmse,4.0,0.008065878413617611,0.0625,0.15615911036729813
paper_cfgres_phaseaware_ls_lmmse,4.0,0.0,0.0,0.08470492623746395
upair5g_lmmse,4.0,0.005912162363529205,0.0625,0.11820326559245586
perfect_csi_lmmse,4.0,0.0,0.0,0.0
baseline_ls_lmmse,8.0,0.0,0.0,0.0638736430555582
baseline_ls_timeavg_lmmse,8.0,0.0,0.0,0.0638736430555582
baseline_ls_2dlmmse_lmmse,8.0,0.0219594594091177,0.125,0.24151186645030975
baseline_ddcpe_ls_lmmse,8.0,0.0,0.0,0.05027912650257349
paper_cfgres_ls_lmmse,8.0,0.0,0.0,0.14518454298377037
paper_cfgres_phaseaware_ls_lmmse,8.0,0.0,0.0,0.05349865183234215
upair5g_lmmse,8.0,0.0,0.0,0.06282931566238403
perfect_csi_lmmse,8.0,0.0,0.0,0.0
